Var1,out_tab1,out_tab2,out_tab3,out_tab4,out_tab5,out_tab6,out_tab7,out_tab8,out_tab9,out_tab10,out_tab11,out_tab12,out_tab13,out_tab14,out_tab15,out_tab16,out_tab17,out_tab18,out_tab19,out_tab20
r_0183,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0184,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0185,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0186,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0187,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0188,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0191,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0192,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
r_0193,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0195,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0198,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0199,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0201,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0204,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0205,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
