Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
P69423	NaN	4.62567349198536e-07	4.39641226863607e-07	NaN	NaN	NaN	NaN	4.99277354454873e-07	3.37095964364479e-07	NaN	NaN	4.7482607253303e-07	NaN	NaN	4.63743233219171e-07	NaN	4.10736738842286e-07	5.17821333725683e-07	NaN	5.01004144044017e-07	4.50072377666817e-07	4.35510259488803e-07	NaN	5.67187119799674e-07	NaN	2.20719836163701e-07	5.31076670671379e-07	3.77785007194285e-07	2.36552519374262e-07	7.16863900092203e-07	5.42655473919173e-07
P0AFW0	NaN	6.55211051137741e-08	7.14631697658667e-08	NaN	NaN	NaN	NaN	8.89127174911655e-08	1.03504738279358e-07	NaN	NaN	7.73869843122451e-08	NaN	NaN	7.94442075310794e-08	NaN	8.80390714038064e-08	9.21546441376215e-08	NaN	9.13622906239894e-08	6.850294860181e-08	6.58916787191033e-08	NaN	6.56022304388858e-08	NaN	6.81385472321018e-08	6.28901837475752e-08	9.89555044170378e-08	9.19315838689142e-08	6.2168210833484e-08	1.13910876157038e-07
P0AAB4	1.05021538851099e-06	1.26791548396198e-06	1.06839132240013e-06	7.40892244818222e-07	1.07950125675465e-06	7.03972316336549e-07	6.81081789862821e-07	6.14647582246866e-07	6.19715750687191e-07	6.97885350271743e-07	1.06470736454909e-06	1.04978767394043e-06	6.78462783430351e-07	8.10141716018735e-07	7.28503584337443e-07	6.27246160130386e-07	6.58351579858527e-07	5.64064436635799e-07	5.26054603754849e-07	6.10900092530556e-07	5.39427364602066e-07	7.62986375217155e-07	5.8611991976312e-07	9.15681432054148e-07	5.9229029080623e-07	4.62595446785648e-07	5.31112741898077e-07	4.3308315030719e-07	3.89056249012961e-07	5.34065220548191e-07	5.81374364969883e-07
P0AEN1	1.09177918089804e-06	1.36474052854402e-06	1.47931664455416e-06	1.2460545277233e-06	1.28435137637653e-06	1.19738564529408e-06	1.27086493963477e-06	1.6296186981505e-06	1.37669396765312e-06	1.25907404052842e-06	1.28671638635497e-06	1.36809956660597e-06	1.25238043983038e-06	1.12966965991432e-06	1.52453575146353e-06	1.26188296249437e-06	1.48065710997311e-06	1.70001426489135e-06	1.1155114554681e-06	1.56558513401411e-06	1.37122165424675e-06	1.42277993915713e-06	1.12468804315123e-06	1.49467208975144e-06	1.05483075621942e-06	1.83032618509863e-06	1.38405296839372e-06	1.13923742578455e-06	1.57415448859045e-06	1.41021709863048e-06	1.23746791567871e-06
P21151	7.64250458564754e-06	3.40217146528927e-06	3.53885423144567e-06	1.04111281350427e-05	7.06941738044647e-06	1.41993486148175e-05	7.33324360690728e-06	2.93213877927716e-06	1.82455816070252e-06	2.17430004772967e-05	3.95877510710198e-06	2.55314149028855e-06	2.18100178573616e-06	1.49589397104379e-06	2.1011151203349e-06	4.71479921880683e-06	2.25458473451431e-06	1.87706820340592e-06	NaN	1.61805555192135e-06	9.68418979566156e-07	2.38982657250755e-06	5.816918159737e-07	1.0818288545686e-06	6.94346031926783e-06	4.77150186758202e-07	6.43564791128398e-07	7.5232760484366e-07	4.15297881770611e-07	5.99837385632891e-07	4.34249333253862e-07
P21177	9.56269141069568e-06	5.29677486772628e-06	5.27707366639736e-06	7.97731214249078e-06	9.34747550265766e-06	8.46315257810897e-06	7.12828853871868e-06	2.67972229115755e-06	1.33742298790012e-06	7.43525902093106e-06	5.29893065509745e-06	3.54103634989959e-06	6.69589025366223e-06	1.95536005855727e-06	2.07279538382711e-06	6.11567635777746e-06	1.83128796613332e-06	1.79232493805609e-06	5.69896221213509e-06	1.33400083711605e-06	5.31155166579477e-07	2.35521295128861e-06	7.51268063363957e-07	1.61388595190913e-06	4.798582654574e-06	3.74238976989442e-07	5.2213100645033e-07	3.0728474719869e-07	2.59840251062334e-07	5.61757869016264e-07	2.50093979656374e-07
P21165	6.95277710108427e-06	2.40425908020964e-06	2.78853933290527e-06	5.72896129832342e-06	7.39880791914576e-06	5.4670264023958e-06	5.7832756930837e-06	3.34994886018955e-06	2.36969186683374e-06	5.7016932506441e-06	6.76443173195022e-06	2.58217995500609e-06	4.64361302121482e-06	6.09754923739144e-06	2.57443915993481e-06	4.84202404909639e-06	2.66694595667233e-06	2.86580464458195e-06	4.45577178637492e-06	2.83463174222742e-06	2.59933809477553e-06	3.17488484936102e-06	4.7843145476612e-06	2.49357688172078e-06	3.92785130883489e-06	2.06742235818312e-06	2.35077987950751e-06	2.19473918211969e-06	2.1290585435855e-06	2.43385910446538e-06	3.02361949721078e-06
P27862	NaN	1.3061846823813e-07	8.5712258117964e-08	NaN	NaN	NaN	NaN	8.16266561346551e-08	9.39003036768137e-08	NaN	NaN	1.19529449353592e-07	NaN	NaN	4.22924167378526e-07	NaN	1.53513673336655e-07	9.27982638744557e-08	NaN	1.04979247540619e-07	9.15469288075942e-08	NaN	NaN	7.54603357828529e-08	NaN	1.36800127251321e-07	NaN	1.90912365280856e-07	1.35604667705762e-07	NaN	1.38783500019967e-07
P0ACB4	2.980918960059e-07	1.70423731369093e-07	2.74216326775931e-07	4.12887183738936e-07	3.10017584620585e-07	NaN	1.01466156839372e-06	1.63071160735398e-07	1.68744884030583e-07	6.44614872489931e-07	2.91852295211718e-07	2.84367290226762e-07	7.95750972484668e-07	2.76353931948751e-07	2.88853261281612e-07	5.67478873332778e-07	2.0973664467869e-07	1.49982902310753e-07	6.90001335668571e-07	3.35142310571498e-07	2.89164783872582e-07	2.02097040630215e-07	3.12432913960269e-07	2.67029324070457e-07	6.3406319618099e-07	2.1002471744781e-07	2.3047710298545e-07	1.86961232338153e-07	2.47165954612631e-07	1.70388837075201e-07	2.38966308831071e-07
P32125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P32173	4.02051696334764e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.24761157464902e-07	NaN	NaN	3.48914450861733e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.82643852104176e-07	NaN	NaN	6.27639344541329e-08	NaN	NaN	NaN	NaN	6.44864565733367e-08
