GENENAME,ID
b2555,P0AD44
b2557,P15254
b2559,P68398
b2561,P37767
b2563,P24224
b2564,P0A794
b2566,P06616
b2567,P0A7Y0
b2568,P00803
b2569,P60785
b2571,P0AFX9
b2572,P0AFX7
b2573,P0AGB6
b2574,P10902
b2575,P31825
b2576,P21507
b2579,P68066
b2580,P12295
b2581,P0AGJ5
b2582,P0AGG4
b2584,P76594
b2585,P23830
b2587,P0AEX3
b2592,A0A7H2C767
b2593,P33644
b2594,P33643
b2595,P0AC02
b2597,P0AD49
b2599,P0A9J8
b2600,P07023
b2601,P00888
b2602,P11289
b2605,P07021
b2606,P0A7K6
b2607,P0A873
b2608,P0A7X6
b2609,P0A7T3
b2610,P0AGD7
b2614,P09372
b2615,P0A7B3
b2616,P05824
b2617,P0A937
b2618,P52119
b2619,P0AGL5
b2620,P0A832
b2659,P76621
b2660,P37339
b2661,P25526
b2662,P22256
b2664,P37338
b2665,P0ADE6
b2667,P77295
b2668,P55734
b2669,P0ACG1
b2671,P0AD53
b2672,P0ADQ7
b2673,P0AC65
b2674,P0A772
b2675,P39452
b2676,P37146
b2677,P14175
b2678,P14176
b2679,P0AFM2
b2684,P0ACR9
b2685,P27303
b2687,P45578
b2688,P0A6W9
b2690,P77475
b2696,P69913
b2697,P00957
b2699,P0A7G6
b2700,P0A6G3
b2701,P41052
b2703,P56580
b2704,P05706
b2705,P05707
b2707,P15082
b2708,P17115
b2714,P24242
b2717,P0AEV9
b2721,P16431
b2725,P0AEV4
b2727,P0AAN3
b2730,P24193
b2733,P23909
b2735,P52598
b2739,Q46891
b2741,P13445
b2742,P0ADA3
b2743,P0A7A5
b2744,P0A840
b2745,Q57261
b2746,P62617
b2747,Q46893
b2748,P0A6S5
b2750,P0A6J1
b2751,P23845
b2752,P21156
b2753,P10423
b2755,Q46896
b2762,P17854
b2763,P17846
b2764,P38038
b2765,P65870
b2777,P64554
b2779,P0A6P9
b2780,P0A7E5
b2781,P0AEY3
b2782,P0AE70
b2783,P0AE72
b2784,P0AG20
